urban_context_city,count
Roma,65452
,40944
Pompeii,4511
Salona,3472
Mogontiacum,2971
Ostia,2647
Aquileia,2034
Puteoli,1780
Carnuntum (1),1648
Cirta,1020
Porolissum,967
Capua,929
Apulum (2),855
Sarmizegetusa,700
Mediolanum (Italia (XI Transpadana)),639
Aventicum,609
Segobriga,595
Misenum,593
Colonia Augusta Treverorum,587
Augusta Emerita,557
Herculaneum,528
Corduba,515
Brundisium,456
Ammaedara,451
Brigetio,447
Carthago,442
Lepcis Magna,428
Neapolis (Italia (I Latium and Campania)),403
Aricia,395
Caralis,395
Venusia,382
Poetovio,382
Lambaesis,380
Saguntum,375
Celeia,373
Verona,373
Patavium,351
Praeneste,346
Tergestum,346
Burdigala,333
Clusium,332
Asisium,332
Alba Fucentia,318
Thugga,308
Corfinium,308
Viminacium (1),305
Aeclanum,301
Andematunum,299
Clunia,291
Theveste,287
Narona,284
Philippi,280
Sirmium,279
Venafrum,274
Beneventum,272
Amiternum,270
Tibur,267
Altinum,266
Tarracina,259
Concordia,258
Vindonissa,258
Comum,255
Novae (Moesia Inferior),251
Perusia,247
Cemelenum,242
Durocortorum,241
Tusculum,238
Cumae,236
Canusium,236
Colonia Ulpia Traiana,234
Londinium,228
Carthago Nova,228
Tarraco,222
Aesernia,221
Ameria,221
Luna,218
Augusta Vindelicum,207
Luceria,207
Marruvium,207
Salernum,204
Tomis,204
Formiae,202
Scupi,201
Pola,200
Saepinum,198
Fulginiae,196
Mutina,195
Augustodunum,190
Dibio,189
Ariminum,181
Micia,181
Telesia,180
Mevania,176
Nursia,176
Argentoratum,176
Narbo Martius,175
Patrae,174
Potaissa,173
Astigi,172
Emona,167
Lugdunum,165
Tarentum,163
Noviomagus (Germania Inferior),161
Antium,161
Spoletium,160
Nomentum,160
Sulmo,160
Sabratha,159
Paestum,156
Pisaurum,155
Valentia (Hispania Tarraconensis) (1),153
Augusta Taurinorum,153
Segusio,152
Castrimoenium,152
Velitrae,151
Scarbantia,150
Augusta Raurica,148
Catania,147
Burnum,147
Peltuinum,146
Colonia Agrippinensis,145
Nola,144
Surrentum,143
Dyrrachium,141
Allifae,140
Luguvalium,139
Interamna Nahars,139
Aquae Sulis,138
Iol,137
Brixia,137
Capena,137
Lauriacum,136
Asseria,136
Aquinum,135
Turris Libisonis,135
Corstopitum,134
Histonium,134
Ephesus,132
Lanuvium,131
Tarquinii,130
Vindobona,128
Oescus,128
Siscia,126
Emporiae,123
Minturnae,123
Ateste,123
Reate,120
Caere,119
Raetinium,119
Ferentinum,117
Rider,116
Ampelum,116
Mursa,115
Ticinum,115
Casinum,114
Bononia,113
Asculum,113
Simitthus,113
Drobeta,112
Rusellae,111
Ratiaria,110
Singidunum,110
Iguvium,109
Malvesia,106
Valeria,106
Teanum Sidicinum,104
Eburacum,103
